ds,y,kpx_demand_mwh,hour,minute,weekday,month,season,is_weekend,date_str,is_holiday,is_peak_hour,hour_sin,hour_cos,lag_1h,lag_24h,rolling_mean_3h
2023-01-02 00:00:00,8.324166666666667,49945.0,0,0,0,1,2,0,2023-01-02,0,0,0.0,1.0,6.666666666666666,6.666666666666666,7.219166666666666
2023-01-02 01:00:00,8.1615,48969.0,1,0,0,1,2,0,2023-01-02,0,0,0.25881904510252074,0.9659258262890683,8.324166666666667,6.666666666666666,7.717444444444445
2023-01-02 02:00:00,8.472999999999999,50838.0,2,0,0,1,2,0,2023-01-02,0,0,0.49999999999999994,0.8660254037844387,8.1615,6.666666666666666,8.319555555555555
2023-01-02 03:00:00,8.220166666666666,49321.0,3,0,0,1,2,0,2023-01-02,0,0,0.7071067811865476,0.7071067811865476,8.472999999999999,6.666666666666666,8.284888888888888
2023-01-02 04:00:00,8.198666666666666,49192.0,4,0,0,1,2,0,2023-01-02,0,0,0.8660254037844386,0.5000000000000001,8.220166666666666,6.666666666666666,8.297277777777778
2023-01-02 05:00:00,8.024666666666667,48148.0,5,0,0,1,2,0,2023-01-02,0,0,0.9659258262890683,0.25881904510252074,8.198666666666666,6.666666666666666,8.147833333333333
2023-01-02 06:00:00,7.948333333333333,47690.0,6,0,0,1,2,0,2023-01-02,0,0,1.0,6.123233995736766e-17,8.024666666666667,6.666666666666666,8.057222222222222
2023-01-02 07:00:00,9.678166666666666,58069.0,7,0,0,1,2,0,2023-01-02,0,0,0.9659258262890683,-0.25881904510252063,7.948333333333333,7.099166666666666,8.550388888888888
2023-01-02 08:00:00,10.077499999999999,60465.0,8,0,0,1,2,0,2023-01-02,0,0,0.8660254037844387,-0.4999999999999998,9.678166666666666,6.681166666666666,9.234666666666667
2023-01-02 09:00:00,10.175333333333333,61052.0,9,0,0,1,2,0,2023-01-02,0,0,0.7071067811865476,-0.7071067811865475,10.077499999999999,6.666666666666666,9.976999999999999
2023-01-02 10:00:00,9.071666666666667,54430.0,10,0,0,1,2,0,2023-01-02,0,0,0.49999999999999994,-0.8660254037844387,10.175333333333333,6.666666666666666,9.774833333333333
2023-01-02 11:00:00,9.876166666666666,59257.0,11,0,0,1,2,0,2023-01-02,0,1,0.258819045102521,-0.9659258262890682,9.071666666666667,7.324,9.707722222222221
2023-01-02 12:00:00,10.052999999999999,60318.0,12,0,0,1,2,0,2023-01-02,0,1,1.2246467991473532e-16,-1.0,9.876166666666666,7.727333333333333,9.666944444444445
2023-01-02 13:00:00,10.256499999999999,61539.0,13,0,0,1,2,0,2023-01-02,0,1,-0.2588190451025208,-0.9659258262890683,10.052999999999999,7.236833333333333,10.06188888888889
2023-01-02 14:00:00,9.365499999999999,56193.0,14,0,0,1,2,0,2023-01-02,0,0,-0.4999999999999997,-0.8660254037844388,10.256499999999999,6.666666666666666,9.891666666666666
2023-01-02 15:00:00,9.104833333333334,54629.0,15,0,0,1,2,0,2023-01-02,0,0,-0.7071067811865471,-0.7071067811865479,9.365499999999999,6.666666666666666,9.57561111111111
2023-01-02 16:00:00,9.5125,57075.0,16,0,0,1,2,0,2023-01-02,0,0,-0.8660254037844385,-0.5000000000000004,9.104833333333334,6.666666666666666,9.32761111111111
2023-01-02 17:00:00,10.379,62274.0,17,0,0,1,2,0,2023-01-02,0,1,-0.9659258262890683,-0.25881904510252063,9.5125,7.756333333333333,9.665444444444445
2023-01-02 18:00:00,10.455333333333334,62732.0,18,0,0,1,2,0,2023-01-02,0,1,-1.0,-1.8369701987210297e-16,10.379,7.761333333333333,10.11561111111111
2023-01-02 19:00:00,10.556833333333334,63341.0,19,0,0,1,2,0,2023-01-02,0,1,-0.9659258262890684,0.2588190451025203,10.455333333333334,7.3845,10.463722222222222
2023-01-02 20:00:00,10.206,61236.0,20,0,0,1,2,0,2023-01-02,0,1,-0.8660254037844386,0.5000000000000001,10.556833333333334,7.798,10.406055555555556
2023-01-02 21:00:00,10.704666666666666,64228.0,21,0,0,1,2,0,2023-01-02,0,1,-0.7071067811865477,0.7071067811865474,10.206,7.6705,10.489166666666668
2023-01-02 22:00:00,8.8665,53199.0,22,0,0,1,2,0,2023-01-02,0,0,-0.5000000000000004,0.8660254037844384,10.704666666666666,6.666666666666666,9.925722222222221
2023-01-02 23:00:00,9.149666666666667,54898.0,23,0,0,1,2,0,2023-01-02,0,0,-0.25881904510252157,0.9659258262890681,8.8665,6.666666666666666,9.573611111111111
2023-01-03 00:00:00,8.127333333333333,48764.0,0,0,1,1,2,0,2023-01-03,0,0,0.0,1.0,9.149666666666667,8.324166666666667,8.7145
2023-01-03 01:00:00,7.618166666666666,45709.0,1,0,1,1,2,0,2023-01-03,0,0,0.25881904510252074,0.9659258262890683,8.127333333333333,8.1615,8.298388888888889
2023-01-03 02:00:00,8.079833333333333,48479.0,2,0,1,1,2,0,2023-01-03,0,0,0.49999999999999994,0.8660254037844387,7.618166666666666,8.472999999999999,7.941777777777777
2023-01-03 03:00:00,8.034666666666666,48208.0,3,0,1,1,2,0,2023-01-03,0,0,0.7071067811865476,0.7071067811865476,8.079833333333333,8.220166666666666,7.910888888888889
2023-01-03 04:00:00,7.957166666666667,47743.0,4,0,1,1,2,0,2023-01-03,0,0,0.8660254037844386,0.5000000000000001,8.034666666666666,8.198666666666666,8.023888888888889
2023-01-03 05:00:00,8.112666666666666,48676.0,5,0,1,1,2,0,2023-01-03,0,0,0.9659258262890683,0.25881904510252074,7.957166666666667,8.024666666666667,8.034833333333333
2023-01-03 06:00:00,8.552333333333333,51314.0,6,0,1,1,2,0,2023-01-03,0,0,1.0,6.123233995736766e-17,8.112666666666666,7.948333333333333,8.207388888888888
2023-01-03 07:00:00,9.655999999999999,57936.0,7,0,1,1,2,0,2023-01-03,0,0,0.9659258262890683,-0.25881904510252063,8.552333333333333,9.678166666666666,8.773666666666665
2023-01-03 08:00:00,9.644499999999999,57867.0,8,0,1,1,2,0,2023-01-03,0,0,0.8660254037844387,-0.4999999999999998,9.655999999999999,10.077499999999999,9.284277777777776
2023-01-03 09:00:00,10.000499999999999,60003.0,9,0,1,1,2,0,2023-01-03,0,0,0.7071067811865476,-0.7071067811865475,9.644499999999999,10.175333333333333,9.766999999999998
2023-01-03 10:00:00,9.085166666666666,54511.0,10,0,1,1,2,0,2023-01-03,0,0,0.49999999999999994,-0.8660254037844387,10.000499999999999,9.071666666666667,9.576722222222221
2023-01-03 11:00:00,9.978833333333332,59873.0,11,0,1,1,2,0,2023-01-03,0,1,0.258819045102521,-0.9659258262890682,9.085166666666666,9.876166666666666,9.688166666666666
2023-01-03 12:00:00,10.3905,62343.0,12,0,1,1,2,0,2023-01-03,0,1,1.2246467991473532e-16,-1.0,9.978833333333332,10.052999999999999,9.818166666666666
2023-01-03 13:00:00,10.493,62958.0,13,0,1,1,2,0,2023-01-03,0,1,-0.2588190451025208,-0.9659258262890683,10.3905,10.256499999999999,10.287444444444445
2023-01-03 14:00:00,9.065166666666666,54391.0,14,0,1,1,2,0,2023-01-03,0,0,-0.4999999999999997,-0.8660254037844388,10.493,9.365499999999999,9.982888888888889
